ArrayExpress_Sex_s	ArrayExpress_Species_s	AvgSpotLen_l	BioSample_s	Experiment_s	InsertSize_l	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
	Astatotilapia calliptera	200	SAMEA1920091	ERX276745	350	6813853	2013-07-01	4462	3190	Astatotilapia calliptera	2013-07-07	ERR303404	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276746	350	6813865	2013-07-01	4789	3420	Lethrinops lethrinus	2013-07-07	ERR303405	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276747	350	6813877	2013-07-01	4520	3223	Lethrinops lethrinus	2013-07-07	ERR303406	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276748	350	6813794	2013-07-01	3695	2637	Lethrinops lethrinus	2013-07-07	ERR303407	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276749	350	6813806	2013-07-01	4141	2956	Aulonocara stuartgranti	2013-07-07	ERR303408	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276750	350	6813818	2013-07-01	4574	3270	Aulonocara stuartgranti	2013-07-07	ERR303409	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX288375	350	6813829	2013-07-17	5145	3771	Astatotilapia calliptera	2013-07-23	ERR315227	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX288376	350	6813841	2013-07-17	4892	3594	Astatotilapia calliptera	2013-07-23	ERR315228	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX288377	350	6813853	2013-07-17	4714	3465	Astatotilapia calliptera	2013-07-23	ERR315229	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX288378	350	6813865	2013-07-17	5108	3749	Lethrinops lethrinus	2013-07-23	ERR315230	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX288379	350	6813877	2013-07-17	4843	3552	Lethrinops lethrinus	2013-07-23	ERR315231	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX288380	350	6813794	2013-07-17	3903	2865	Lethrinops lethrinus	2013-07-23	ERR315232	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX288381	350	6813806	2013-07-17	4372	3209	Aulonocara stuartgranti	2013-07-23	ERR315233	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX288382	350	6813818	2013-07-17	4838	3556	Aulonocara stuartgranti	2013-07-23	ERR315234	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX288383	350	6813830	2013-07-17	4377	3218	Aulonocara stuartgranti	2013-07-23	ERR315235	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia 'Massoko olive'	250	SAMEA2661375	ERX646487	350	11649640	2015-02-19	6372	2324	Astatotilapia	2015-01-29	ERR702224	ERS510589		Astatotilapia__Massoko_olive__5-sc-2016892	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia 'Massoko olive'	250	SAMEA2661376	ERX646488	350	11649652	2015-02-19	6216	2271	Astatotilapia	2015-01-29	ERR702225	ERS510590		Astatotilapia__Massoko_olive__6-sc-2016893	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia 'Massoko olive'	250	SAMEA2661377	ERX646489	350	11649664	2015-02-19	5097	1877	Astatotilapia	2015-01-29	ERR702226	ERS510591		Astatotilapia__Massoko_olive__7-sc-2016894	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia 'Massoko olive'	250	SAMEA2661378	ERX646490	350	11649676	2015-02-05	4633	1685	Astatotilapia	2015-01-29	ERR702227	ERS510592		Astatotilapia__Massoko_olive__8-sc-2016895	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia 'Massoko olive'	250	SAMEA2661379	ERX646491	350	11649688	2015-02-04	3703	1338	Astatotilapia	2015-01-29	ERR702228	ERS510593		Astatotilapia__Massoko_olive__9-sc-2016896	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia 'Massoko olive'	250	SAMEA2661380	ERX646492	350	11649700	2015-02-04	3550	1294	Astatotilapia	2015-01-29	ERR702229	ERS510594		Astatotilapia__Massoko_olive__10-sc-2016897	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661392	ERX646493	350	11649712	2015-02-05	5389	1958	Astatotilapia	2015-01-29	ERR702230	ERS510606		Astatotilapia__Massoko_olive__11-sc-2016921	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661393	ERX646494	350	11649724	2015-02-04	5044	1830	Astatotilapia	2015-01-29	ERR702231	ERS510607		Astatotilapia__Massoko_olive__12-sc-2016922	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661394	ERX646495	350	11649641	2015-02-04	9420	3421	Astatotilapia	2015-01-29	ERR702232	ERS510608		Astatotilapia__Massoko_olive__13-sc-2016923	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661395	ERX646496	350	11649653	2015-02-05	9827	3555	Astatotilapia	2015-01-29	ERR702233	ERS510609		Astatotilapia__Massoko_olive__14-sc-2016924	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661396	ERX646497	350	11649665	2015-02-04	9771	3557	Astatotilapia	2015-01-29	ERR702234	ERS510610		Astatotilapia__Massoko_olive__15-sc-2016925	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661397	ERX646498	350	11649677	2015-02-05	11693	4249	Astatotilapia	2015-01-29	ERR702235	ERS510611		Astatotilapia__Massoko_olive__16-sc-2016926	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661398	ERX646499	350	11649689	2015-02-04	6781	2447	Astatotilapia	2015-01-29	ERR702236	ERS510612		Astatotilapia__Massoko_olive__17-sc-2016927	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661399	ERX646500	350	11649701	2015-02-04	6422	2348	Astatotilapia	2015-01-29	ERR702237	ERS510613		Astatotilapia__Massoko_olive__18-sc-2016928	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661400	ERX646501	350	11649713	2015-02-04	6489	2352	Astatotilapia	2015-01-29	ERR702238	ERS510614		Astatotilapia__Massoko_olive__19-sc-2016929	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661402	ERX646502	350	11649642	2015-02-04	5821	2114	Astatotilapia	2015-01-29	ERR702239	ERS510616		Astatotilapia__Massoko_olive__21-sc-2016931	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661403	ERX646503	350	11649654	2015-02-04	6053	2182	Astatotilapia	2015-01-29	ERR702240	ERS510617		Astatotilapia__Massoko_small_yellow__1-sc-2016932	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661404	ERX646504	350	11649666	2015-02-04	5901	2154	Astatotilapia	2015-01-29	ERR702241	ERS510618		Astatotilapia__Massoko_small_yellow__2-sc-2016933	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661405	ERX646505	350	11649678	2015-02-04	6432	2312	Astatotilapia	2015-01-29	ERR702242	ERS510619		Astatotilapia__Massoko_small_yellow__3-sc-2016934	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661406	ERX646506	350	11649690	2015-02-04	6417	2329	Astatotilapia	2015-01-29	ERR702243	ERS510620		Astatotilapia__Massoko_small_yellow__4-sc-2016935	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661407	ERX646507	350	11649702	2015-02-04	6348	2291	Astatotilapia	2015-01-29	ERR702244	ERS510621		Astatotilapia__Massoko_small_yellow__5-sc-2016936	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661408	ERX646508	350	11649714	2015-02-04	7128	2594	Astatotilapia	2015-01-29	ERR702245	ERS510622		Astatotilapia__Massoko_small_yellow__6-sc-2016937	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661409	ERX646509	350	11649726	2015-02-04	7189	2587	Astatotilapia	2015-01-29	ERR702246	ERS510623		Astatotilapia__Massoko_small_yellow__7-sc-2016938	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661410	ERX646510	350	11649643	2015-02-05	6042	2183	Astatotilapia	2015-01-29	ERR702247	ERS510624		Astatotilapia__Massoko_small_yellow__8-sc-2016939	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661411	ERX646511	350	11649655	2015-02-04	6710	2437	Astatotilapia	2015-01-29	ERR702248	ERS510625		Astatotilapia__Massoko_small_yellow__9-sc-2016940	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661412	ERX646512	350	11649667	2015-02-05	6827	2474	Astatotilapia	2015-01-29	ERR702249	ERS510626		Astatotilapia__Massoko_small_yellow__10-sc-2016941	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661413	ERX646513	350	11649679	2015-02-05	6903	2506	Astatotilapia	2015-01-29	ERR702250	ERS510627		Astatotilapia__Massoko_small_yellow__11-sc-2016942	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko small yellow'	250	SAMEA2661414	ERX646514	350	11649691	2015-02-05	6716	2435	Astatotilapia	2015-01-29	ERR702251	ERS510628		Astatotilapia__Massoko_small_yellow__12-sc-2016943	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661415	ERX646515	350	11649703	2015-02-05	7528	2737	Astatotilapia	2015-01-29	ERR702252	ERS510629		Astatotilapia__Itamba_blue__1-sc-2016944	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661417	ERX646516	350	11649727	2015-02-04	7286	2648	Astatotilapia	2015-01-29	ERR702253	ERS510631		Astatotilapia__Itamba_blue__3-sc-2016946	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661418	ERX646517	350	11649644	2015-02-04	5957	2162	Astatotilapia	2015-01-29	ERR702254	ERS510632		Astatotilapia__Itamba_blue__4-sc-2016947	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661419	ERX646518	350	11649656	2015-02-04	5760	2099	Astatotilapia	2015-01-29	ERR702255	ERS510633		Astatotilapia__Itamba_blue__5-sc-2016948	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661420	ERX646519	350	11649668	2015-02-05	5743	2093	Astatotilapia	2015-01-29	ERR702256	ERS510634		Astatotilapia__Itamba_blue__6-sc-2016949	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661421	ERX646520	350	11649680	2015-02-05	6145	2250	Astatotilapia	2015-01-29	ERR702257	ERS510635		Astatotilapia__Itamba_blue__7-sc-2016950	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661422	ERX646521	350	11649692	2015-02-04	6783	2484	Astatotilapia	2015-01-29	ERR702258	ERS510636		Astatotilapia__Itamba_blue__8-sc-2016951	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661423	ERX646522	350	11649704	2015-02-04	6967	2566	Astatotilapia	2015-01-29	ERR702259	ERS510637		Astatotilapia__Itamba_blue__9-sc-2016952	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661424	ERX646523	350	11649716	2015-02-04	7256	2660	Astatotilapia	2015-01-29	ERR702260	ERS510638		Astatotilapia__Itamba_blue__10-sc-2016953	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661425	ERX646524	350	11649728	2015-02-19	7248	2644	Astatotilapia	2015-01-29	ERR702261	ERS510639		Astatotilapia__Itamba_blue__11-sc-2016954	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661426	ERX646525	350	11649645	2015-02-19	6118	2239	Astatotilapia	2015-01-29	ERR702262	ERS510640		Astatotilapia__Itamba_blue__12-sc-2016955	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661427	ERX646526	350	11649657	2015-02-19	6054	2216	Astatotilapia	2015-01-29	ERR702263	ERS510641		Astatotilapia__Itamba_blue__13-sc-2016956	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661428	ERX646527	350	11649669	2015-02-19	5905	2168	Astatotilapia	2015-01-29	ERR702264	ERS510642		Astatotilapia__Itamba_blue__14-sc-2016957	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba blue'	250	SAMEA2661429	ERX646528	350	11649681	2015-02-19	6029	2209	Astatotilapia	2015-01-29	ERR702265	ERS510643		Astatotilapia__Itamba_blue__15-sc-2016958	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661430	ERX646529	350	11649693	2015-02-19	5828	2130	Astatotilapia	2015-01-29	ERR702266	ERS510644		Astatotilapia__Itamba_yellow__1-sc-2016959	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661431	ERX646530	350	11649705	2015-02-19	6095	2199	Astatotilapia	2015-01-29	ERR702267	ERS510645		Astatotilapia__Itamba_yellow__2-sc-2016960	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661432	ERX646531	350	11649717	2015-02-19	6722	2421	Astatotilapia	2015-01-29	ERR702268	ERS510646		Astatotilapia__Itamba_yellow__3-sc-2016961	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661433	ERX646532	350	11649729	2015-02-19	6695	2404	Astatotilapia	2015-01-29	ERR702269	ERS510647		Astatotilapia__Itamba_yellow__4-sc-2016962	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661434	ERX646533	350	11649646	2015-02-19	5989	2144	Astatotilapia	2015-01-29	ERR702270	ERS510648		Astatotilapia__Itamba_yellow__5-sc-2016963	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661435	ERX646534	350	11649658	2015-02-19	5834	2112	Astatotilapia	2015-01-29	ERR702271	ERS510649		Astatotilapia__Itamba_yellow__6-sc-2016964	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661436	ERX646535	350	11649670	2015-02-19	5636	2047	Astatotilapia	2015-01-29	ERR702272	ERS510650		Astatotilapia__Itamba_yellow__7-sc-2016965	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661437	ERX646536	350	11649682	2015-02-19	5834	2099	Astatotilapia	2015-01-29	ERR702273	ERS510651		Astatotilapia__Itamba_yellow__8-sc-2016966	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661438	ERX646537	350	11649694	2015-02-19	5981	2179	Astatotilapia	2015-01-29	ERR702274	ERS510652		Astatotilapia__Itamba_yellow__9-sc-2016967	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661439	ERX646538	350	11649706	2015-02-19	6627	2400	Astatotilapia	2015-01-29	ERR702275	ERS510653		Astatotilapia__Itamba_yellow__10-sc-2016968	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661440	ERX646539	350	11649718	2015-02-19	6405	2327	Astatotilapia	2015-01-29	ERR702276	ERS510654		Astatotilapia__Itamba_yellow__11-sc-2016969	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661441	ERX646540	350	11649730	2015-02-19	6830	2521	Astatotilapia	2015-01-29	ERR702277	ERS510655		Astatotilapia__Itamba_yellow__12-sc-2016970	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661442	ERX646541	350	11649647	2015-02-19	5865	2176	Astatotilapia	2015-01-29	ERR702278	ERS510656		Astatotilapia__Itamba_yellow__13-sc-2016971	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661443	ERX646542	350	11649659	2015-02-19	5842	2160	Astatotilapia	2015-01-29	ERR702279	ERS510657		Astatotilapia__Itamba_yellow__14-sc-2016972	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661444	ERX646543	350	11649671	2015-02-19	5794	2137	Astatotilapia	2015-01-29	ERR702280	ERS510658		Astatotilapia__Itamba_yellow__15-sc-2016973	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661445	ERX646544	350	11649683	2015-02-19	5986	2196	Astatotilapia	2015-01-29	ERR702281	ERS510659		Astatotilapia__Itamba_yellow__16-sc-2016974	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Itamba yellow'	250	SAMEA2661446	ERX646545	350	11649695	2015-02-19	5658	2110	Astatotilapia	2015-01-29	ERR702282	ERS510660		Astatotilapia__Itamba_yellow__17-sc-2016975	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661447	ERX646546	350	11649707	2015-02-19	6408	2390	Astatotilapia	2015-01-29	ERR702283	ERS510661		Astatotilapia__Massoko_olive__22-sc-2016976	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661448	ERX646547	350	11649719	2015-02-19	6857	2517	Astatotilapia	2015-01-29	ERR702284	ERS510662		Astatotilapia__Massoko_olive__24-sc-2016977	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661449	ERX646548	350	11649731	2015-02-19	7087	2569	Astatotilapia	2015-01-29	ERR702285	ERS510663		Astatotilapia__Massoko_olive__25-sc-2016978	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia 'Massoko olive'	250	SAMEA2661450	ERX646549	350	11649648	2015-02-19	7650	2765	Astatotilapia	2015-01-29	ERR702286	ERS510664		Astatotilapia__Massoko_olive__26-sc-2016979	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
